L M s l' alpha Re(C) Im(C) Im(A)
0 0 0 0 11420.0 0 0 12976.3861877818
0 0 0 0 1712.0 0 0 1945.32164216133
0 0 0 0 389.3 0 0 442.356142110634
0 0 0 0 110.0 0 0 124.991460652889
0 0 0 0 35.57 -5.28968830086776e-11 0 40.4176932311206
0 0 0 0 12.54 -6.32477285866512e-8 0 14.2490265144294
0 0 0 0 4.644 -1.02196710832039e-7 0 5.27691221156379
0 0 0 0 0.5118 -1.33263954679093e-6 0 0.581551177837715
0 0 0 0 1.293 6.05447882594264e-6 0 1.46921780567442
0 0 0 0 0.1787 -0.000187466435779499 0 0.203054309260648
0 0 0 0 26.63 5.78768399853034e-5 0 30.2592963380585
0 0 1 1 26.63 0 0.000101870197613955 30.2592963380585
0 0 0 0 5.948 0.0440849340776704 0 6.75862916330350
0 0 1 1 5.948 0 0.0775947848471143 6.75862916330350
0 0 0 0 1.742 0.120168425242758 0 1.97941022233939
0 0 1 1 1.742 0 0.211510877745676 1.97941022233939
0 0 0 0 0.555 0.0561790807597889 0 0.630638733294123
0 0 1 1 0.555 0 0.0988819372347088 0.630638733294123
0 0 0 0 0.1725 0.00808204086920889 0 0.196009336023849
0 0 1 1 0.1725 0 0.0142253637323572 0.196009336023849
0 0 0 0 1.654 -0.0106700878264410 1.124e-18 1.87941705381708
0 0 1 1 1.654 0 -0.0375612751392030 1.87941705381708
0 0 2 2 1.654 0.0330561803480838 3.483e-18 1.87941705381708
0 0 0 0 0.469 -0.00191124357035490 2.014e-19 0.532918136783682
0 0 1 1 0.469 0 -0.00672803699199524 0.532918136783682
0 0 2 2 0.469 0.00592107705001341 6.238e-19 0.532918136783682
0 0 0 0 1.093 -0.000285398048708083 5.955e-20 1.24196060448734
0 0 1 1 1.093 -1.815e-19 -0.00150528428698722 1.24196060448734
0 0 2 2 1.093 0.00264796732282196 1.736e-19 1.24196060448734
0 0 3 3 1.093 -9.88e-20 0.00155358029521346 1.24196060448734
0 0 0 0 0.0576 -5.86075172070461e-5 0 0.0654500739418765
0 0 0 0 0.0491 0.000314818042965717 0 0.0557916428914260
0 0 1 1 0.0491 0 0.000554117610040560 0.0557916428914260
0 0 0 0 0.151 -5.06286417254120e-5 0 0.171579186896239
0 0 1 1 0.151 0 -0.000178224994274170 0.171579186896239
0 0 2 2 0.151 0.000156848710045901 1.643e-20 0.171579186896239
0 0 0 0 0.364 5.38096650187960e-5 0 0.413608106160470
0 0 1 1 0.364 2.111e-20 0.000283878255273426 0.413608106160470
0 0 2 2 0.364 -0.000499434403817094 -3.716e-20 0.413608106160470
0 0 3 3 0.364 1.99e-20 -0.000293021534606788 0.413608106160470
0 0 0 0 33.87 0 0 153.386946769113
0 0 0 0 5.095 1.10614589724725e-12 0 23.0737081130390
0 0 0 0 1.159 0.000948266282164560 0 5.24875911737237
0 0 0 0 0.3258 0.0450293310623820 0 1.47544928424497
0 0 0 0 0.1027 0.0320946923480650 0 0.465097119373721
0 0 0 0 1.407 0.000174211189626333 0 6.37187582238389
0 0 1 1 1.407 0 7.69365727257837e-5 6.37187582238389
0 0 0 0 0.388 0.00704284017260051 0 1.75713419977608
0 0 1 1 0.388 0 0.00311031677297866 1.75713419977608
0 0 0 0 1.057 0.000909139261969175 0 4.78683208547247
0 0 1 1 1.057 0 0.000803003057339596 4.78683208547247
0 0 2 2 1.057 -0.000177314394249151 0 4.78683208547247
0 0 0 0 0.02526 0.00166286443324427 0 0.114394870841092
0 0 0 0 0.102 -0.00398204587013123 0 0.461927031899898
0 0 1 1 0.102 0 -0.00175858371865712 0.461927031899898
0 0 0 0 0.247 0.000533820264100511 0 1.11858800862034
0 0 1 1 0.247 0 0.000471500156328167 1.11858800862034
0 0 2 2 0.247 -0.000104113880817209 0 1.11858800862034
0 0 0 0 33.87 0 0 162.200870695300
0 0 0 0 5.095 -5.04092224034230e-14 0 24.3995700086375
0 0 0 0 1.159 -0.000469694916267135 0 5.55036342296582
0 0 0 0 0.3258 -0.0369256437901741 0 1.56023158171032
0 0 0 0 0.1027 -0.0300794888378984 0 0.491822539722683
0 0 0 0 1.407 -7.80256725120196e-5 0 6.73801668344514
0 0 1 1 1.407 0 -3.25858858420873e-5 6.73801668344514
0 0 0 0 0.388 -0.00567797474583325 0 1.85810268171764
0 0 1 1 0.388 0 -0.00237129435639885 1.85810268171764
0 0 0 0 1.057 -0.000541240126306751 0 5.06189313034933
0 0 1 1 1.057 0 -0.000452076564063497 5.06189313034933
0 0 2 2 1.057 9.44004379211655e-5 0 5.06189313034933
0 0 0 0 0.02526 -0.00163081017813069 0 0.120968231289143
0 0 0 0 0.102 0.00411231638677867 0 0.488470292616492
0 0 1 1 0.102 0 0.00171742796969128 0.488470292616492
0 0 0 0 0.247 -0.000467464950597675 0 1.18286433604190
0 0 1 1 0.247 0 -0.000390455064978935 1.18286433604190
0 0 2 2 0.247 8.15329350215365e-5 0 1.18286433604190
1 -1 0 1 11420.0 0 0 12976.3861877818
1 0 0 1 11420.0 0 0 12976.3861877818
1 1 0 1 11420.0 0 0 12976.3861877818
1 -1 0 1 1712.0 0 0 1945.32164216133
1 0 0 1 1712.0 0 0 1945.32164216133
1 1 0 1 1712.0 0 0 1945.32164216133
1 -1 0 1 389.3 0 0 442.356142110634
1 0 0 1 389.3 0 0 442.356142110634
1 1 0 1 389.3 0 0 442.356142110634
1 -1 0 1 110.0 0 0 124.991460652889
1 0 0 1 110.0 0 0 124.991460652889
1 1 0 1 110.0 0 0 124.991460652889
1 -1 0 1 35.57 1.14029717587078e-11 -1.14029717587078e-11 40.4176932311206
1 0 0 1 35.57 0 -8.87362926675530e-11 40.4176932311206
1 1 0 1 35.57 1.14029717587078e-11 1.14029717587078e-11 40.4176932311206
1 -1 0 1 12.54 1.36343017178855e-8 -1.36343017178855e-8 14.2490265144294
1 0 0 1 12.54 0 -1.06100182755614e-7 14.2490265144294
1 1 0 1 12.54 1.36343017178855e-8 1.36343017178855e-8 14.2490265144294
1 -1 0 1 4.644 2.20305269643089e-8 -2.20305269643089e-8 5.27691221156379
1 0 0 1 4.644 0 -1.71438404802896e-7 5.27691221156379
1 1 0 1 4.644 2.20305269643089e-8 2.20305269643089e-8 5.27691221156379
1 -1 0 1 0.5118 2.87276872516311e-7 -2.87276872516311e-7 0.581551177837715
