r l m Re(R) Im(R)
0.1 0 0 -9.43891245942090 0
0.1 1 -1 0.119194152112263 -0.875992498846428
0.1 1 1 -0.119194152112263 -0.875992498846428
0.1 2 -2 0.199970431701187 -0.00945559941201437
0.1 2 0 0.161472007249877 0
0.1 2 2 0.199970431701187 0.00945559941201440
0.1 3 -3 0.111424734437444 -0.00613915428406893
0.1 3 -1 0.0291782099226148 0.00517972283057322
0.1 3 1 -0.0291782099226148 0.00517972283057322
0.1 3 3 -0.111424734437444 -0.00613915428406892
0.1 4 -4 0.104972350998475 -0.0185081744276082
0.1 4 -2 0.0403898531285710 -0.00358189628847051
0.1 4 0 0.119660764313654 0
0.1 4 2 0.0403898531285710 0.00358189628847051
0.1 4 4 0.104972350998475 0.0185081744276082
0.1 5 -5 0.100458954111935 -0.0221577382806070
0.1 5 -3 0.0464214678830741 -0.00614977801681740
0.1 5 -1 0.0142148165127554 -0.000419748101726208
0.1 5 1 -0.0142148165127554 -0.000419748101726292
0.1 5 3 -0.0464214678830741 -0.00614977801681743
0.1 5 5 -0.100458954111935 -0.0221577382806069
0.1 6 -6 0.0953632040561549 -0.0253066606255056
0.1 6 -4 0.0488790411400865 -0.00856620662266850
0.1 6 -2 0.0228146372420103 -0.00199072650810487
0.1 6 0 0.139400278715748 0
0.1 6 2 0.0228146372420104 0.00199072650810486
0.1 6 4 0.0488790411400865 0.00856620662266850
0.1 6 6 0.0953632040561549 0.0253066606255055
0.1 7 -7 0.0904360293026737 -0.0282334331476380
0.1 7 -5 0.0497223560955184 -0.0109496274399785
0.1 7 -3 0.0278634475126828 -0.00365436968357673
0.1 7 -1 0.00850616885391461 3.61589274768259e-5
0.1 7 1 -0.00850616885391463 3.61589274767982e-5
0.1 7 3 -0.0278634475126828 -0.00365436968357671
0.1 7 5 -0.0497223560955184 -0.0109496274399785
0.1 7 7 -0.0904360293026737 -0.0282334331476379
0.1 8 -8 0.0856477591142973 -0.0308566985502687
0.1 8 -6 0.0495997120609535 -0.0131951252922132
0.1 8 -4 0.0309260953886196 -0.00542887274244971
0.1 8 -2 0.0149816194976990 -0.00130851012486012
0.1 8 0 0.151613572488959 0
0.1 8 2 0.0149816194976989 0.00130851012486016
0.1 8 4 0.0309260953886195 0.00542887274244973
0.1 8 6 0.0495997120609535 0.0131951252922131
